rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
8,304,-7.91300243355335,0,0,1.20557106223508,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
9,304,-7.89085350242678,0,0,1.71343553642973,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
10,304,-7.89782899225494,0,0,1.8604750275598,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
1,305,-7.90727332926506,0,0,1.57487746420537,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
2,305,-8.32602924220478,0,0,1.63703913406131,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
3,305,-7.63103204975622,0,0,1.92375191337813,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
4,305,-8.00722651278965,0,0,1.95422486998314,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
5,305,-7.70245710465742,0,0,1.93576756349452,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
6,305,-8.16274792022957,0,0,1.99563385399159,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
7,305,-7.5338218531681,0,0,1.66052988895019,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
8,305,-7.87111990832379,0,0,2.26497020850468,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
9,305,-8.08587289507334,0,0,1.78531482528905,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
10,305,-7.85777147398361,0,0,1.75640625621208,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
1,306,-7.86820478287253,0,0,1.75015985365506,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
2,306,-8.14733843510493,0,0,1.83070530904281,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
3,306,-7.63604411287294,0,0,1.70935828194149,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
4,306,-8.59409156948567,0,0,1.26569045942927,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
5,306,-7.94625105650325,0,0,1.58453684143098,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
6,306,-7.86038470713527,0,0,1.54065748358444,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
7,306,-8.02875734654807,0,0,1.70670136586835,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
8,306,-8.119386354612,0,0,1.50017365692852,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
9,306,-7.76357922304013,0,0,1.73165802970094,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
10,306,-8.25784221191969,0,0,1.51851968465286,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
