rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
7,204,-6.83568861687081,0,0,1.89487994259605,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
8,204,-6.8004952178603,0,0,1.39537374311301,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
9,204,-7.45323896909367,0,0,1.15402698701233,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
10,204,-7.02985928614537,0,0,2.07598455489286,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
1,205,-7.248069089295,0,0,1.85897319787345,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
2,205,-7.46022677131345,0,0,1.56945052983441,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
3,205,-7.36435384696506,0,0,1.6856153135843,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
4,205,-7.91628197615048,0,0,1.5079403353608,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
5,205,-7.90563797589961,0,0,1.54214527414607,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
6,205,-8.04185568424816,0,0,1.40245551963219,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
7,205,-8.33147531594512,0,0,1.49365255731233,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
8,205,-7.67947154903706,0,0,1.27966126851572,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
9,205,-8.19949500952345,0,0,1.18394134523711,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
10,205,-7.76929045366053,0,0,1.54569903447389,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
1,206,-8.24731282324731,0,0,1.31959704178857,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
2,206,-7.40142919375279,0,0,2.62721729248514,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
3,206,-7.86119323563576,0,0,2.08994265397586,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
4,206,-7.47100524263783,0,0,2.35923075358844,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
5,206,-7.37330574065837,0,0,4.60680025832454,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
6,206,-7.76557331928149,0,0,2.1508389921808,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
7,206,-7.82992898661431,0,0,1.36897000160923,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
8,206,-7.5807638120419,0,0,2.10120500220305,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
9,206,-8.02888582604133,0,0,1.85121924292121,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
10,206,-7.96759183319028,0,0,1.02929946056368,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
1,301,-7.91479654411921,0,0,2.07561620549826,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
2,301,-7.36406952703434,0,0,3.07733805800937,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
3,301,-8.39924051586132,0,0,1.40982336080001,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
4,301,-7.86182512279011,0,0,1.2212000614911,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
5,301,-8.33141887811498,0,0,1.88668253448869,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
6,301,-7.5509483743725,0,0,2.73988622280652,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
7,301,-7.98192092217511,0,0,1.39229119306829,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
8,301,-7.47001858965085,0,0,2.08119689209548,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
9,301,-7.84326210456607,0,0,2.74155504906726,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Conv-CD40
