rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,301,-7.42719907821268,0,0,1.19737321403701,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
2,301,-7.64634339381969,0,0,1.69978980120366,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
3,301,-7.56918021675144,0,0,3.12929875536495,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
4,301,-7.85776639155738,0,0,1.31088669101774,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
5,301,-7.45032779621721,0,0,2.73386280805002,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
6,301,-7.38550363723653,0,0,4.42965697675452,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
7,301,-7.74244190550047,0,0,1.5983221166823,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
8,301,-7.38335957245369,0,0,1.22910344342398,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
9,301,-8.02314798150886,0,0,2.13458422830795,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
10,301,-7.66793577728142,0,0,2.40979663899499,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
1,302,-7.86188261424779,0,0,2.72708866536264,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
2,302,-7.82970149997074,0,0,2.18072149900164,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
3,302,-7.87689797054931,0,0,1.71517794645921,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
4,302,-7.38757245776951,0,0,4.65846370665245,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
5,302,-7.61365307068392,0,0,3.02131768934829,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
6,302,-7.96114086164484,0,0,2.18800575017059,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Conv-CD40
