ID,time,y1,y1_simBlq,censored,split,color,filter
NHP7,0,2.67761,-2.21407,1,All,#4682B4,0
NHP7,1,2.67761,1.6154,1,All,#4682B4,0
NHP7,2,2.67761,1.01486,1,All,#4682B4,0
NHP7,3,2.67761,0.348993,1,All,#4682B4,0
NHP7,4,2.67761,1.41529,1,All,#4682B4,0
NHP7,5,2.67761,-1.16068,1,All,#4682B4,0
NHP7,7,2.67761,-2.63107,1,All,#4682B4,0
NHP7,9,2.67761,-4.09467,1,All,#4682B4,0
NHP7,14,2.67761,-4.70281,1,All,#4682B4,0
NHP7,23,2.67761,-5.06483,1,All,#4682B4,0
NHP8,0,2.67761,-1.82646,1,All,#4682B4,0
NHP8,1,2.67761,0.919426,1,All,#4682B4,0
NHP8,3,2.67761,0.158418,1,All,#4682B4,0
NHP8,4,2.67761,-0.241885,1,All,#4682B4,0
NHP8,5,2.67761,0.679048,1,All,#4682B4,0
NHP8,7,2.67761,-3.32472,1,All,#4682B4,0
NHP8,9,2.67761,-3.59474,1,All,#4682B4,0
NHP8,14,2.67761,-2.78619,1,All,#4682B4,0
NHP8,23,2.67761,-2.81917,1,All,#4682B4,0
NHP9,0,2.67761,-3.43602,1,All,#4682B4,0
NHP9,1,6.28217,6.28217,0,All,#4682B4,0
NHP9,2,8.74818,8.74818,0,All,#4682B4,0
NHP9,3,7.32717,7.32717,0,All,#4682B4,0
NHP9,4,4.88526,4.88526,0,All,#4682B4,0
NHP9,5,5.30661,5.30661,0,All,#4682B4,0
NHP9,7,5.72483,5.72483,0,All,#4682B4,0
NHP9,10,2.67761,2.04738,1,All,#4682B4,0
NHP9,14,2.67761,2.06897,1,All,#4682B4,0
NHP9,23,2.67761,-0.37317,1,All,#4682B4,0
NHP9,29,2.67761,-2.71894,1,All,#4682B4,0
