rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
7,202,-7.26367269564089,0,0,1.96595059257279,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
8,202,-6.98837772764791,0,0,2.68795161043447,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
9,202,-6.96528145346192,0,0,2.38535936577098,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
10,202,-7.34021970747367,0,0,2.07518405304065,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
1,203,-7.0244830175962,0,0,1.86401149571984,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
2,203,-7.38768964961476,0,0,1.80526936687885,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
3,203,-6.7242136452353,0,0,2.02321235657993,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
4,203,-7.02387798191513,0,0,2.43441859116805,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
5,203,-7.39440897848749,0,0,1.99988416992967,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
6,203,-7.06540159674808,0,0,2.18928166266651,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
7,203,-7.4245247486005,0,0,1.83763403985986,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Convalescent
